2068,DMI Arturo Collection Mission-style Design Wood Chair,Alan Hwang,13633,57.2,Ontario,Chairs & Chairmats,0.59
2069,"Eldon Base for stackable storage shelf, platinum",Alan Hwang,13633,35,Ontario,Storage & Organization,0.8
2070,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Edward Becker,13735,1.39,Ontario,Envelopes,0.36
2071,*Staples* Highlighting Markers,Andy Yotov,13861,0.71,Ontario,Pens & Art Supplies,0.52
2072,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Frank Hawley,13892,1.99,Ontario,Computer Peripherals,0.5
2073,Acco D-Ring Binder w/DublLock�,Edward Becker,14023,2.99,Ontario,Binders and Binder Accessories,0.36
2074,Xerox 1948,Edward Becker,14023,5.12,Ontario,Paper,0.4
2075,Eldon� 200 Class� Desk Accessories,Jim Mitchum,14115,5.41,Ontario,Office Furnishings,0.53
2076,3395,Jim Mitchum,14115,10.78,Ontario,Telephones and Communication,0.58
2077,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Theresa Coyne,14147,2.99,Ontario,Binders and Binder Accessories,0.35
2078,Xerox 1927,Theresa Coyne,14147,6.72,Ontario,Paper,0.4
2079,Xerox 1953,Theresa Coyne,14147,5.74,Ontario,Paper,0.4
2080,Canon MP41DH Printing Calculator,Frank Hawley,14211,13.99,Ontario,Office Machines,0.38
2081,Fellowes High-Stak� Drawer Files,Frank Hawley,14211,11.87,Ontario,Storage & Organization,0.62
2082,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Ivan Liston,14368,13.99,Ontario,Office Furnishings,0.65
2083,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Ivan Liston,14368,8.99,Ontario,Pens & Art Supplies,0.56
2084,Document Clip Frames,Darren Powers,14596,0.96,Ontario,Office Furnishings,0.43
2085,Newell 337,Darren Powers,14596,3.97,Ontario,Pens & Art Supplies,0.56
2086,Xerox 221,Darren Powers,14693,6.41,Ontario,Paper,0.37
2087,"Tennsco Lockers, Sand",Darren Powers,14693,45,Ontario,Storage & Organization,0.61
2088,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Anthony Witt,14695,54.11,Ontario,Bookcases,0.69
2089,Self-Adhesive Address Labels for Typewriters by Universal,David Smith,14823,0.49,Ontario,Labels,0.38
2090,Turquoise Lead Holder with Pocket Clip,David Smith,14823,1.56,Ontario,Pens & Art Supplies,0.52
2091,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Ted Trevino,15014,36.61,Ontario,Bookcases,0.61
2092,Staples Gold Paper Clips,Naresj Patel,15972,1.58,Ontario,Rubber Bands,0.39
2093,"Advantus Push Pins, Aluminum Head",Naresj Patel,15972,3.37,Ontario,Rubber Bands,0.54
2094,Canon PC940 Copier,Ruben Ausman,16065,49,Ontario,Copiers and Fax,0.38
2095,EcoTones� Memo Sheets,Ruben Ausman,16065,1.3,Ontario,Paper,0.37
2096,Avery 474,Roy French,16096,0.99,Ontario,Labels,0.36
2097,Belkin 6 Outlet Metallic Surge Strip,Larry Hughes,16160,4.5,Ontario,Appliances,0.59
2098,Hon Pagoda� Stacking Chairs,Magdelene Morse,16196,24.49,Ontario,Chairs & Chairmats,0.55
2099,StarTAC 6500,Magdelene Morse,16196,8.8,Ontario,Telephones and Communication,0.59
2100,Howard Miller Distant Time Traveler Alarm Clock,Gary Hansen,16291,19.46,Ontario,Office Furnishings,0.44
2101,Avery� Durable Slant Ring Binders With Label Holder,Alan Hwang,16519,2.99,Ontario,Binders and Binder Accessories,0.37
2102,Newell 340,Alan Hwang,16519,0.7,Ontario,Pens & Art Supplies,0.56
2103,Tensor Computer Mounted Lamp,Darren Budd,16548,3.97,Ontario,Office Furnishings,0.58
2104,"Eldon Regeneration Recycled Desk Accessories, Smoke",Nancy Lomonaco,16613,4.08,Ontario,Office Furnishings,0.53
2105,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Dan Lawera,16771,9.2,Ontario,Office Furnishings,0.65
2106,Xerox 1882,Ed Ludwig,16804,13.88,Ontario,Paper,0.36
2107,Xerox 1899,Ed Ludwig,16804,4.96,Ontario,Paper,0.36
2108,Belkin F9M820V08 8 Outlet Surge,Tamara Dahlen,17024,4.62,Ontario,Appliances,0.56
2109,Newell 340,Ivan Liston,17061,0.7,Ontario,Pens & Art Supplies,0.56
2110,Eldon Shelf Savers� Cubes and Bins,Dave Hallsten,17152,9.69,Ontario,Storage & Organization,0.83
2111,Okidata ML591 Wide Format Dot Matrix Printer,Bill Stewart,17187,16.06,Ontario,Office Machines,0.56
2112,Xerox 1917,Ivan Liston,17252,5.97,Ontario,Paper,0.38
2113,Hon 94000 Series Round Tables,Ivan Liston,17252,54.12,Ontario,Tables,0.76
2114,Xerox 1959,Nancy Lomonaco,17312,7.3,Ontario,Paper,0.37
2115,i2000,Nancy Lomonaco,17312,2.5,Ontario,Telephones and Communication,0.6
2116,Prang Drawing Pencil Set,Erin Creighton,17377,1.2,Ontario,Pens & Art Supplies,0.58
2117,"Global Leather Task Chair, Black",Alan Hwang,17634,42,Ontario,Chairs & Chairmats,0.66
2118,"Maxell Pro 80 Minute CD-R, 10/Pack",Erin Creighton,17668,1.99,Ontario,Computer Peripherals,0.45
2119,Polycom VoiceStation 100,Erin Creighton,17668,13.99,Ontario,Office Machines,0.39
2120,Phone 918,Erin Creighton,17668,5,Ontario,Telephones and Communication,0.59
2121,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Ed Ludwig,17735,5.48,Ontario,Binders and Binder Accessories,0.37
2122,Staples Bulldog Clip,Ed Ludwig,17735,0.71,Ontario,Rubber Bands,0.39
2123,"Companion Letter/Legal File, Black",Larry Hughes,17825,12.9,Ontario,Storage & Organization,0.57
2124,"Snap-A-Way� Black Print Carbonless Ruled Speed Letter, Triplicate",Kelly Lampkin,17956,5.08,Ontario,Paper,0.38
2125,Fellowes Recycled Storage Drawers,Kelly Lampkin,17956,8.64,Ontario,Storage & Organization,0.78
2126,Economy Binders,George Ashbrook,17986,1.49,Ontario,Binders and Binder Accessories,0.36
2127,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Henry MacAllister,18112,1.34,Ontario,Paper,0.36
2128,Hoover Portapower� Portable Vacuum,Naresj Patel,18178,49,Ontario,Appliances,0.6
2129,"Executive Impressions 12"" Wall Clock",Naresj Patel,18178,8.99,Ontario,Office Furnishings,0.47
2130,U.S. Robotics 56K Internet Call Modem,Anna Haberlin,18182,19.99,Ontario,Computer Peripherals,0.5
2131,Eldon Cleatmat� Chair Mats for Medium Pile Carpets,Anna Haberlin,18182,52.2,Ontario,Office Furnishings,0.72
2132,Fellowes Bases and Tops For Staxonsteel�/High-Stak� Systems,Anna Haberlin,18182,8.74,Ontario,Storage & Organization,0.61
2133,Premium Transparent Presentation Covers by GBC,George Ashbrook,18405,8.83,Ontario,Binders and Binder Accessories,0.37
2134,Keytronic French Keyboard,George Ashbrook,18405,14.52,Ontario,Computer Peripherals,0.65
2135,"Global Stack Chair without Arms, Black",Jeremy Ellison,18531,14.36,Ontario,Chairs & Chairmats,0.6
2136,Eldon Jumbo ProFile� Portable File Boxes Graphite/Black,Larry Hughes,18533,8.78,Ontario,Storage & Organization,0.57
2137,Bell Sonecor JB700 Caller ID,Larry Hughes,18533,5.03,Ontario,Telephones and Communication,0.6
2138,Global Deluxe Office Fabric Chairs,Erin Creighton,18661,58.2,Ontario,Chairs & Chairmats,0.58
2139,Riverside Furniture Stanwyck Manor Table Series,Erin Creighton,18661,61.76,Ontario,Tables,0.78
2140,Accessory28,Jonathan Howell,18723,2.5,Ontario,Telephones and Communication,0.83
2141,SAFCO Folding Chair Trolley,Erin Creighton,18753,12.65,Ontario,Chairs & Chairmats,
2142,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Erin Creighton,18753,30,Ontario,Chairs & Chairmats,0.62
2143,"Eldon� 400 Class� Desk Accessories, Black Carbon",Linda Cazamias,19204,8.54,Ontario,Office Furnishings,0.43
2144,Xerox 1908,Linda Cazamias,19204,4.86,Ontario,Paper,0.36
2145,Accessory21,Darren Powers,19394,0.99,Ontario,Telephones and Communication,0.37
2146,StarTAC 6500,Darren Powers,19394,8.8,Ontario,Telephones and Communication,0.59
2147,Avery Poly Binder Pockets,Edward Nazzal,19653,5.47,Ontario,Binders and Binder Accessories,0.37
2148,Binder Clips by OIC,George Ashbrook,19687,0.7,Ontario,Rubber Bands,0.37
2149,600 Series Non-Flip,George Ashbrook,19687,4.99,Ontario,Telephones and Communication,0.57
2150,7160,Nat Carroll,19716,4.2,Ontario,Telephones and Communication,0.59
2151,Assorted Color Push Pins,Erin Ashbrook,19782,0.75,Ontario,Rubber Bands,0.52
2152,Microsoft Internet Keyboard,James Lanier,20134,6.5,Ontario,Computer Peripherals,0.78
2153,Xerox 210,James Lanier,20134,7.37,Ontario,Paper,0.37
2154,Martin-Yale Premier Letter Opener,Anna Haberlin,20259,4.59,Ontario,"Scissors, Rulers and Trimmers",0.82
2155,GBC Wire Binding Strips,Duane Huffman,20261,12.62,Ontario,Binders and Binder Accessories,0.37
2156,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Duane Huffman,20261,1.02,Ontario,Paper,0.39
2157,Talkabout T8367,Duane Huffman,20261,8.99,Ontario,Telephones and Communication,0.56
2158,"Executive Impressions 13"" Clairmont Wall Clock",Magdelene Morse,20453,6.15,Ontario,Office Furnishings,0.44
2159,Accessory34,Magdelene Morse,20453,0.99,Ontario,Telephones and Communication,0.55
2160,Keytronic 105-Key Spanish Keyboard,Arthur Wiediger,20614,12.14,Ontario,Computer Peripherals,0.67
2161,Avery 491,Gary Mitchum,20709,0.99,Ontario,Labels,0.39
2162,Avery White Multi-Purpose Labels,Gary Mitchum,20709,0.49,Ontario,Labels,0.39
2163,Logitech Access Keyboard,George Ashbrook,21025,6.5,Ontario,Computer Peripherals,0.48
2164,"Peel & Seel� Recycled Catalog Envelopes, Brown",Gary Mitchum,21028,6.97,Ontario,Envelopes,0.35
2165,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Matt Hagelstein,21125,4.39,Ontario,Paper,0.38
2166,Xerox 1922,Andy Reiter,21382,7.44,Ontario,Paper,0.36
2167,Fellowes PB300 Plastic Comb Binding Machine,Magdelene Morse,21604,19.99,Ontario,Binders and Binder Accessories,0.38
2168,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Dave Hallsten,21824,56.2,Ontario,Office Furnishings,0.74
2169,"Recycled Interoffice Envelopes with Re-Use-A-Seal� Closure, 10 x 13",Gary Zandusky,21893,8.13,Ontario,Envelopes,0.38
2170,G.E. Halogen Desk Lamp Bulbs,Candace McMahon,22054,2.83,Ontario,Office Furnishings,0.37
2171,Staples Bulk Pack Metal Binder Clips,Alan Hwang,22181,1.82,Ontario,Rubber Bands,0.35
2172,Adesso Programmable 142-Key Keyboard,Edward Nazzal,22272,4,Ontario,Computer Peripherals,0.79
2173,Imation DVD-RAM discs,Edward Nazzal,22272,1.99,Ontario,Computer Peripherals,0.43
2174,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Candace McMahon,22373,8.29,Ontario,Envelopes,0.38
2175,"Avery� Durable Plastic 1"" Binders",Allen Golden,22434,5.83,Ontario,Binders and Binder Accessories,0.36
2176,Newell 337,Allen Golden,22434,3.97,Ontario,Pens & Art Supplies,0.56
2177,Fellowes Binding Cases,Erin Creighton,22849,5.63,Ontario,Binders and Binder Accessories,0.4
2178,Prang Drawing Pencil Set,Erin Creighton,22849,1.34,Ontario,Pens & Art Supplies,0.45
2179,Eldon Shelf Savers� Cubes and Bins,Erin Creighton,22849,9.69,Ontario,Storage & Organization,0.83
2180,6185,Erin Creighton,22849,3,Ontario,Telephones and Communication,0.58
2181,Project Tote Personal File,Melanie Page,22881,9.37,Ontario,Storage & Organization,0.56
2182,Space Solutions Commercial Steel Shelving,Mike Caudle,22950,35,Ontario,Storage & Organization,0.8
2183,GBC VeloBinder Electric Binding Machine,Erin Ashbrook,23008,9.07,Ontario,Binders and Binder Accessories,0.35
2184,Adesso Programmable 142-Key Keyboard,Erin Ashbrook,23008,6.5,Ontario,Computer Peripherals,0.74
2185,"Wirebound Message Forms, Four 2 3/4 x 5 Forms per Page, Pink Paper",Naresj Patel,23202,1.69,Ontario,Paper,0.38
2186,Staples SlimLine Pencil Sharpener,Naresj Patel,23202,5.81,Ontario,Pens & Art Supplies,0.6
2187,"Memorex 80 Minute CD-R, 30/Pack",Erin Ashbrook,23426,1.99,Ontario,Computer Peripherals,0.46
2188,Letter Slitter,Erin Ashbrook,23426,1.92,Ontario,"Scissors, Rulers and Trimmers",0.82
2189,688,Arthur Wiediger,23649,4.2,Ontario,Telephones and Communication,0.6
2190,M3682,Arthur Wiediger,23649,8.08,Ontario,Telephones and Communication,0.57
2191,Tennsco Double-Tier Lockers,Naresj Patel,23748,28.66,Ontario,Storage & Organization,0.72
2192,2160i,Darren Budd,23847,4.2,Ontario,Telephones and Communication,0.59
2193,Staples 6 Outlet Surge,Cynthia Arntzen,23971,4.98,Ontario,Appliances,0.58
2194,"Premier Elliptical Ring Binder, Black",Ed Ludwig,24135,1.49,Ontario,Binders and Binder Accessories,0.37
2195,Xerox 1971,Nat Carroll,24196,5.17,Ontario,Paper,0.4
2196,"Trav-L-File Heavy-Duty Shuttle II, Black",Nat Carroll,24196,16.36,Ontario,Storage & Organization,0.55
2197,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",David Smith,24197,6.55,Ontario,Computer Peripherals,0.68
2198,Accessory29,David Smith,24197,1.25,Ontario,Telephones and Communication,0.83
2199,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",Duane Huffman,24519,5.63,Ontario,Binders and Binder Accessories,0.39
2200,Fiskars� Softgrip Scissors,Edward Nazzal,24546,3.37,Ontario,"Scissors, Rulers and Trimmers",0.57
2201,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Edward Nazzal,24579,24.49,Ontario,Appliances,0.52
2202,Staples 6 Outlet Surge,Edward Nazzal,24579,4.98,Ontario,Appliances,0.58
2203,Presstex Flexible Ring Binders,George Ashbrook,24581,1.49,Ontario,Binders and Binder Accessories,0.35
2204,Xerox 1922,Jonathan Howell,24710,7.44,Ontario,Paper,0.36
2205,Fellowes EZ Multi-Media Keyboard,Cynthia Arntzen,24960,7.53,Ontario,Computer Peripherals,0.76
2206,"Snap-A-Way� Black Print Carbonless Ruled Speed Letter, Triplicate",Cynthia Arntzen,24960,5.08,Ontario,Paper,0.38
2207,Xerox 229,Cynthia Arntzen,24960,5.87,Ontario,Paper,0.37
2208,2160i,Cynthia Arntzen,24960,4.2,Ontario,Telephones and Communication,0.59
2209,Xerox 1885,Noah Childs,25061,7.23,Ontario,Paper,0.37
2210,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Brian Stugart,25095,9.83,Ontario,Envelopes,0.4
2211,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Brian Stugart,25095,56.14,Ontario,Office Machines,0.4
2212,GBC Standard Plastic Binding Systems Combs,Christine Phan,25254,5.6,Ontario,Binders and Binder Accessories,0.36
2213,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Matt Hagelstein,25542,4.23,Ontario,Paper,0.39
2214,Xerox 1881,Frank Carlisle,25569,6.47,Ontario,Paper,0.38
2215,1726 Digital Answering Machine,George Bell,25863,4.81,Ontario,Telephones and Communication,0.58
2216,GBC Durable Plastic Covers,Candace McMahon,25895,12.79,Ontario,Binders and Binder Accessories,0.39
2217,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Edward Nazzal,26050,8.29,Ontario,Envelopes,0.38
2218,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",George Bell,26145,5.68,Ontario,Binders and Binder Accessories,0.36
2219,"Eldon� Expressions� Wood and Plastic Desk Accessories, Oak",George Bell,26145,12.52,Ontario,Office Furnishings,0.57
2220,"Seth Thomas 14"" Putty-Colored Wall Clock",George Bell,26145,7.87,Ontario,Office Furnishings,0.54
2221,Accessory23,Edward Nazzal,26279,1.25,Ontario,Telephones and Communication,0.36
2222,Storex DuraTech Recycled Plastic Frosted Binders,Edward Becker,26406,5.41,Ontario,Binders and Binder Accessories,0.35
2223,Ibico Presentation Index for Binding Systems,Candace McMahon,26535,5.26,Ontario,Binders and Binder Accessories,0.38
2224,T193,Ruben Ausman,26661,4.99,Ontario,Telephones and Communication,0.57
2225,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Naresj Patel,26855,3.92,Ontario,Office Furnishings,0.44
2226,Canon PC1080F Personal Copier,Patrick Bzostek,27047,24.49,Ontario,Copiers and Fax,0.5
2227,Xerox 1927,Patrick Bzostek,27047,6.72,Ontario,Paper,0.4
2228,Canon MP100DHII Printing Calculator,Frank Carlisle,27077,13.99,Ontario,Office Machines,0.37
2229,Xerox 191,Alan Hwang,27236,5.86,Ontario,Paper,0.38
2230,"80 Minute CD-R Spindle, 100/Pack - Staples",Darren Budd,27589,1.99,Ontario,Computer Peripherals,0.54
2231,"Executive Impressions 12"" Wall Clock",Darren Budd,27589,8.99,Ontario,Office Furnishings,0.47
2232,Global Adaptabilities� Conference Tables,Darren Budd,27589,1.49,Ontario,Tables,0.66
2233,Staples Copy Paper (20Lb. and 84 Bright),Dave Hallsten,27681,4.7,Ontario,Paper,0.38
2234,Col-Erase� Pencils with Erasers,Dave Hallsten,27681,1.17,Ontario,Pens & Art Supplies,0.56
2235,Global Ergonomic Managers Chair,Dan Lawera,28033,26.2,Ontario,Chairs & Chairmats,0.59
2236,Hon Multipurpose Stacking Arm Chairs,Dan Lawera,28033,64.2,Ontario,Chairs & Chairmats,0.59
2237,"3.5"" IBM Formatted Diskettes, DS/HD",Dan Lawera,28033,4.07,Ontario,Computer Peripherals,0.66
2238,Staples 4 Outlet Surge Protector,Edward Nazzal,28324,3.5,Ontario,Appliances,0.58
2239,Hoover� Commercial Lightweight Upright Vacuum,Bill Stewart,28805,49,Ontario,Appliances,0.59
2240,Avery Hanging File Binders,Bill Stewart,28805,1.49,Ontario,Binders and Binder Accessories,0.39
2241,Acme� Box Cutter Scissors,Bill Stewart,28805,4.68,Ontario,"Scissors, Rulers and Trimmers",0.59
2242,Eureka Disposable Bags for Sanitaire� Vibra Groomer I� Upright Vac,Ed Ludwig,28897,6.89,Ontario,Appliances,0.6
2243,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Ed Ludwig,28897,19.99,Ontario,Envelopes,0.38
2244,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Gary Mitchum,28932,5.4,Ontario,Office Furnishings,0.51
2245,"Dixon My First Ticonderoga Pencil, #2",Gary Mitchum,28932,2.27,Ontario,Pens & Art Supplies,0.56
2246,SANFORD Major Accent� Highlighters,Nat Carroll,29219,2.35,Ontario,Pens & Art Supplies,0.47
2247,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Linda Cazamias,29410,7.11,Ontario,Office Machines,0.36
2248,688,Linda Cazamias,29410,4.2,Ontario,Telephones and Communication,0.6
2249,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Naresj Patel,29411,5,Ontario,Appliances,0.55
2250,"#10 White Business Envelopes,4 1/8 x 9 1/2",Naresj Patel,29411,1.39,Ontario,Envelopes,0.38
2251,Hewlett-Packard Deskjet 1220Cse Color Inkjet Printer,Naresj Patel,29411,48.26,Ontario,Office Machines,0.36
2252,TI 36X Solar Scientific Calculator,Naresj Patel,29411,6.3,Ontario,Office Machines,0.38
2253,Ultra Door Push Plate,Gary Zandusky,29475,3.05,Ontario,Office Furnishings,0.52
2254,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Gary Zandusky,29475,44.55,Ontario,Bookcases,0.62
2255,Belkin 6 Outlet Metallic Surge Strip,Joni Sundaresam,29537,4.5,Ontario,Appliances,0.59
2256,Hunt Boston� Vacuum Mount KS Pencil Sharpener,Duane Huffman,29671,7.73,Ontario,Pens & Art Supplies,0.59
2257,Rush Hierlooms Collection Rich Wood Bookcases,Theresa Coyne,29895,35.02,Ontario,Bookcases,0.72
2258,Wilson Jones Easy Flow II� Sheet Lifters,George Bell,30308,4.79,Ontario,Binders and Binder Accessories,0.37
2259,Avery Binder Labels,Dave Hallsten,30436,7.01,Ontario,Binders and Binder Accessories,0.37
2260,Newell 327,Cynthia Arntzen,30820,1.12,Ontario,Pens & Art Supplies,0.58
2261,T18,Erin Creighton,31046,2.5,Ontario,Telephones and Communication,0.57
2262,Acme� Design Stainless Steel Bent Scissors,Erin Creighton,31046,4.42,Ontario,"Scissors, Rulers and Trimmers",0.58
2263,Avery 510,Duane Huffman,31301,0.5,Ontario,Labels,0.37
2264,"Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl",Gary Hansen,31495,2.99,Ontario,Binders and Binder Accessories,0.39
2265,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Gary Hansen,31495,8.22,Ontario,Storage & Organization,0.57
2266,"Sony MFD2HD Formatted Diskettes, 10/Pack",Joni Sundaresam,31523,2.74,Ontario,Computer Peripherals,0.71
2267,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Joni Sundaresam,31523,8.29,Ontario,Envelopes,0.38
2268,"Verbatim DVD-R, 3.95GB, SR, Mitsubishi Branded, Jewel",Alan Hwang,31552,1.99,Ontario,Computer Peripherals,0.43
2269,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Alan Hwang,31552,1.99,Ontario,Computer Peripherals,0.5
2270,Westinghouse Clip-On Gooseneck Lamps,Duane Huffman,31877,10.16,Ontario,Office Furnishings,0.59
2271,Avery Printable Repositionable Plastic Tabs,Edward Becker,32037,6.19,Ontario,Binders and Binder Accessories,0.38
2272,Canon Imageclass D680 Copier / Fax,Edward Becker,32037,24.49,Ontario,Copiers and Fax,0.54
2273,Staples Bulldog Clip,David Smith,32131,0.71,Ontario,Rubber Bands,0.39
2274,"IBM Active Response Keyboard, Black",Magdelene Morse,32135,7.12,Ontario,Computer Peripherals,0.67
2275,TI 30X Scientific Calculator,Magdelene Morse,32135,5.99,Ontario,Office Machines,0.36
2276,"Peel & Seel� Recycled Catalog Envelopes, Brown",Michelle Huthwaite,32195,6.97,Ontario,Envelopes,0.35
2277,Eldon Radial Chair Mat for Low to Medium Pile Carpets,David Philippe,32230,9.2,Ontario,Office Furnishings,0.65
2278,Avery Premier Heavy-Duty Binder with Round Locking Rings,Nat Carroll,32451,2.99,Ontario,Binders and Binder Accessories,0.39
2279,"Memorex 4.7GB DVD+RW, 3/Pack",Darren Budd,32642,1.99,Ontario,Computer Peripherals,0.4
2280,XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal,James Lanier,32803,4.71,Ontario,Binders and Binder Accessories,0.35
2281,Ampad #10 Peel & Seel� Holiday Envelopes,James Lanier,32803,2.5,Ontario,Envelopes,0.37
2282,8890,Noah Childs,32834,5.92,Ontario,Telephones and Communication,0.58
2283,Hon Multipurpose Stacking Arm Chairs,Duane Huffman,33219,64.2,Ontario,Chairs & Chairmats,0.59
2284,Avery 503,Duane Huffman,33477,0.99,Ontario,Labels,0.37
2285,Letter Size Cart,Dan Lawera,34082,19.99,Ontario,Storage & Organization,0.56
2286,Staples� General Use 3-Ring Binders,Dan Lawera,34082,1.49,Ontario,Binders and Binder Accessories,0.37
2287,Boston 1730 StandUp Electric Pencil Sharpener,Dan Lawera,34082,8.99,Ontario,Pens & Art Supplies,0.59
2288,Peel-Off� China Markers,Alan Hwang,34211,1.09,Ontario,Pens & Art Supplies,0.43
2289,"Imation 3.5"" Unformatted DS/HD Diskettes, 10/Box",Duane Huffman,34244,5.53,Ontario,Computer Peripherals,0.69
2290,"Memorex 4.7GB DVD-RAM, 3/Pack",Duane Huffman,34244,1.99,Ontario,Computer Peripherals,0.42
2291,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Alan Hwang,34658,55.81,Ontario,Bookcases,0.6
2292,Xerox 193,Alan Hwang,34788,5.15,Ontario,Paper,0.36
2293,Global Ergonomic Managers Chair,Amy Cox,34918,26.2,Ontario,Chairs & Chairmats,0.59
2294,"Master Caster Door Stop, Large Neon Orange",Amy Cox,34918,7.98,Ontario,Office Furnishings,0.42
2295,Bush Mission Pointe Library,Darren Budd,35079,4.95,Ontario,Bookcases,0.65
2296,Hon 4060 Series Tables,Darren Budd,35079,19.99,Ontario,Tables,0.63
2297,GBC DocuBind TL300 Electric Binding System,Mike Caudle,35110,19.99,Ontario,Binders and Binder Accessories,0.38
2298,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Mike Caudle,35110,1.99,Ontario,Computer Peripherals,0.5
2299,"O'Sullivan Elevations Bookcase, Cherry Finish",Darren Budd,35554,54.74,Ontario,Bookcases,0.69
2300,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",James Lanier,35555,43.32,Ontario,Chairs & Chairmats,0.55
2301,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",James Lanier,35555,4.93,Ontario,Computer Peripherals,0.66
2302,Rediform S.O.S. Phone Message Books,James Lanier,35555,0.8,Ontario,Paper,0.36
2303,Xerox 199,Erin Creighton,35877,5.68,Ontario,Paper,0.4
2304,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",Cari MacIntyre,35878,2.2,Ontario,Paper,0.39
2305,Zebra Zazzle Fluorescent Highlighters,Allen Golden,36448,0.91,Ontario,Pens & Art Supplies,0.51
2306,Boston 16801 Nautilus� Battery Pencil Sharpener,Allen Golden,36448,5.53,Ontario,Pens & Art Supplies,0.59
2307,"Avery Flip-Chart Easel Binder, Black",Eudokia Martin,36452,15.1,Ontario,Binders and Binder Accessories,0.38
2308,G.E. Halogen Desk Lamp Bulbs,Eudokia Martin,36452,2.83,Ontario,Office Furnishings,0.37
2309,StarTAC Series,Cari MacIntyre,36484,3.9,Ontario,Telephones and Communication,0.55
2310,9-3/4 Diameter Round Wall Clock,Ruben Ausman,36643,8.78,Ontario,Office Furnishings,0.43
2311,Fellowes Bases and Tops For Staxonsteel�/High-Stak� Systems,Ruben Ausman,36643,8.74,Ontario,Storage & Organization,0.61
2312,Talkabout T8367,Anna Haberlin,36679,8.99,Ontario,Telephones and Communication,0.56
2313,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Fred Hopkins,36741,1.46,Ontario,Paper,0.39
2314,Accessory36,Fred Hopkins,36741,5,Ontario,Telephones and Communication,0.83
2315,"24 Capacity Maxi Data Binder Racks, Pearl",Brian Stugart,36866,9.99,Ontario,Storage & Organization,0.6
2316,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Amy Cox,36929,4.5,Ontario,Appliances,0.59
2317,Fellowes Bases and Tops For Staxonsteel�/High-Stak� Systems,Amy Cox,36929,8.74,Ontario,Storage & Organization,0.61
2318,Sharp 1540cs Digital Laser Copier,Cari MacIntyre,36999,49,Ontario,Copiers and Fax,0.35
2319,2160,Cari MacIntyre,36999,5.99,Ontario,Telephones and Communication,0.57
2320,Premium Transparent Presentation Covers by GBC,Eudokia Martin,37216,8.83,Ontario,Binders and Binder Accessories,0.37
2321,DAX Solid Wood Frames,Michelle Huthwaite,37314,6.02,Ontario,Office Furnishings,0.48
2322,Howard Miller 12-3/4 Diameter Accuwave DS � Wall Clock,Bill Stewart,37349,19.99,Ontario,Office Furnishings,0.43
2323,Microsoft Internet Keyboard,Mike Caudle,37828,4,Ontario,Computer Peripherals,0.77
